Question,Numbers,Equation,Answer,group_nums,Body,Ques
"Bryan took a look at his books as well . If Bryan has number0 books in each of his number1 bookshelves , how many books does he have in total ?",56.0 9.0,* number0 number1,504.0,"[12, 13, 14, 18, 19, 20, 27, 28, 29]","Bryan took a look at his books as well . If Bryan has number0 books in each of his number1 bookshelves ,",how many books does he have in total ?
"For the fifth grade play , the chairs have been put into number0 rows with number1 chairs in each row . How many chairs have been put out for the play ?",27.0 16.0,* number0 number1,432.0,"[11, 12, 13, 14, 15, 16, 28, 29, 30]","For the fifth grade play , the chairs have been put into number0 rows with number1 chairs in each row .",How many chairs have been put out for the play ?
There are number0 short trees and number1 tall trees currently in the park . Park workers will plant number2 short trees today . How many short trees will the park have when the workers are finished ?,41.0 44.0 57.0,+ number0 number2,98.0,"[1, 2, 3, 5, 6, 7, 17, 18, 19, 33, 34, 35]",There are number0 short trees and number1 tall trees currently in the park . Park workers will plant number2 short trees today .,How many short trees will the park have when the workers are finished ?
Conner has number0 dollars in his bank account . Every month he spends number1 dollars . He does not add money to the account . How much money will Conner have in his account after number2 months ?,25000.0 1500.0 8.0,- number0 * number1 number2,13000.0,"[1, 2, 3, 12, 13, 14, 34, 35, 36, 34, 35, 36]",Conner has number0 dollars in his bank account . Every month he spends number1 dollars . He does not add money to the account .,How much money will Conner have in his account after number2 months ?
There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,34.0 49.0,+ number0 number1,83.0,"[1, 2, 3, 13, 14, 15, 29, 30, 31]",There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today .,How many dogwood trees will the park have when the workers are finished ?
Maggi had number0 packages of cupcakes . There are number1 cupcakes in each package . She ate number2 cupcakes . How many are left ?,3.0 4.0 5.0,* number0 number1,12.0,"[1, 2, 3, 8, 9, 10, 16, 17, 18, 21, 22, 23]",Maggi had number0 packages of cupcakes . There are number1 cupcakes in each package . She ate number2 cupcakes .,How many are left ?
"You deposit number0 dollars in a savings account that pays an annual interest rate of number1 % . How much simple interest would you earn in number2 years , in dollars ?",70.0 3.0 2.5,* * * number0 number1 number2 0.01,5.25,"[1, 2, 3, 14, 15, 16, 25, 26, 27, 28, 29, 30]",You deposit number0 dollars in a savings account that pays an annual interest rate of number1 % .,"How much simple interest would you earn in number2 years , in dollars ?"
Emily collects number0 cards . Emily 's father gives Emily number1 more . Bruce has number2 apples . How many cards does Emily have ?,63.0 7.0 13.0,+ number0 number1,70.0,"[1, 2, 3, 9, 10, 11, 14, 15, 16, 21, 22, 23]",Emily collects number0 cards . Emily 's father gives Emily number1 more . Bruce has number2 apples .,How many cards does Emily have ?
"A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook , how long will it take him to cook the rest ?",15.0 8.0 9.0,* number2 - number0 number1,63.0,"[4, 5, 6, 11, 12, 13, 17, 18, 19, 30, 31, 32]","A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook ,",how long will it take him to cook the rest ?
It takes number0 apples to make number1 pie . How many apples does it take to make number2 pies ?,4.0 1.0 504.0,* number0 number2,2016.0,"[1, 2, 3, 5, 6, 7, 16, 17, 18, 16, 17, 18]",It takes number0 apples to make number1 pie .,How many apples does it take to make number2 pies ?
"Isabel baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one , how much cups of flour does she still need ?",3.0 5.0 5.0,* number1 - number1 number0,10.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 30, 31, 32]","Isabel baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one ,",how much cups of flour does she still need ?
Mary is baking a cake . The recipe calls for number0 cups of flour and number1 cups of sugar . She already put in number2 cups of flour . How many cups of flour does she need to add ?,7.0 3.0 2.0,- number0 number2,5.0,"[9, 10, 11, 14, 15, 16, 23, 24, 25, 36, 37, 38]",Mary is baking a cake . The recipe calls for number0 cups of flour and number1 cups of sugar . She already put in number2 cups of flour .,How many cups of flour does she need to add ?
Rachel bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures . How many pictures does she still have to color ?,24.0 39.0 4.0,- + number0 number1 number2,59.0,"[7, 8, 9, 13, 14, 15, 22, 23, 24, 34, 35, 36]",Rachel bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures .,How many pictures does she still have to color ?
"Sean has number0 apples . Susan gives Sean number1 more . Later , Sean buys number2 tickets at the store . How many apples does Sean have in all ?",9.0 8.0 18.0,+ number0 number1,17.0,"[1, 2, 3, 7, 8, 9, 14, 15, 16, 26, 27, 28]","Sean has number0 apples . Susan gives Sean number1 more . Later , Sean buys number2 tickets at the store .",How many apples does Sean have in all ?
A DVD book holds number0 DVDs . There are number1 DVDs already in the book . How many more DVDs can be put in the book ?,126.0 81.0,- number0 number1,45.0,"[3, 4, 5, 8, 9, 10, 23, 24, 25]",A DVD book holds number0 DVDs . There are number1 DVDs already in the book .,How many more DVDs can be put in the book ?
Amy starts with number0 peanuts . Gerald gives Amy number1 more . How many peanuts does Amy end with ?,7.0 55.0,+ number0 number1,62.0,"[2, 3, 4, 8, 9, 10, 16, 17, 18]",Amy starts with number0 peanuts . Gerald gives Amy number1 more .,How many peanuts does Amy end with ?
"Frank made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",19.0 11.0 2.0,/ - number0 number1 number2,4.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 31, 32, 33]","Frank made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades ,",how many number2 dollar games could he buy with the money he had left ?
James has number0 balloons . Amy has number1 balloons . How many more balloons does James have than Amy ?,232.0 101.0,- number0 number1,131.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",James has number0 balloons . Amy has number1 balloons .,How many more balloons does James have than Amy ?
Beth has number0 packs of crayons . Each pack has number1 crayons in it . She also has number2 extra crayons . How many crayons does Beth have altogether ?,4.0 10.0 6.0,* number0 number1,40.0,"[1, 2, 3, 9, 10, 11, 17, 18, 19, 26, 27, 28]",Beth has number0 packs of crayons . Each pack has number1 crayons in it . She also has number2 extra crayons .,How many crayons does Beth have altogether ?
"Bianca had number0 coloring books . If she gave away number1 of them , but then bought number2 more , how many would she have total ?",45.0 6.0 20.0,- + number0 number2 number1,59.0,"[1, 2, 3, 9, 10, 11, 16, 17, 18, 23, 24, 25]","Bianca had number0 coloring books . If she gave away number1 of them , but then bought number2 more ,",how many would she have total ?
"A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each , how many tables do they need ?",18.0 12.0 3.0,/ - number0 number1 number2,2.0,"[2, 3, 4, 9, 10, 11, 23, 24, 25, 31, 32, 33]","A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each ,",how many tables do they need ?
"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 liters of oil leaked into the water . While the engineers worked , the pipe leaked number1 liters of oil . In all , how many liters of oil leaked into the water ?",6522.0 5165.0,+ number0 number1,11687.0,"[15, 16, 17, 32, 33, 34, 47, 48, 49]","An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 liters of oil leaked into the water . While the engineers worked , the pipe leaked number1 liters of oil . In all ,",how many liters of oil leaked into the water ?
Sara has saved number0 quarters from washing cars . How many cents does Sara have ?,11.0,* number0 25.0,275.0,"[2, 3, 4, 14, 15, 16]",Sara has saved number0 quarters from washing cars .,How many cents does Sara have ?
"A construction company ordered number0 ton of concrete , number1 ton of bricks , and number2 ton of stone . How many tons of material did the company order in all ?",0.16666666666666666 0.16666666666666666 0.5,+ + number0 number0 number2,0.8333333333333334,"[3, 4, 5, 8, 9, 10, 14, 15, 16, 28, 29, 30]","A construction company ordered number0 ton of concrete , number1 ton of bricks , and number2 ton of stone .",How many tons of material did the company order in all ?
"Jessica grew number0 watermelons and number1 carrots , but the rabbits ate number2 watermelons . How many watermelons does Jessica have ?",35.0 30.0 27.0,- number0 number2,8.0,"[1, 2, 3, 4, 5, 6, 11, 12, 13, 18, 19, 20]","Jessica grew number0 watermelons and number1 carrots , but the rabbits ate number2 watermelons .",How many watermelons does Jessica have ?
"Jazmin had number0 dolls and Geraldine had number1 dolls . If they put their dolls together , how many would they have ?",1209.0 2186.0,+ number0 number1,3395.0,"[1, 2, 3, 6, 7, 8, 19, 20, 21]","Jazmin had number0 dolls and Geraldine had number1 dolls . If they put their dolls together ,",how many would they have ?
"Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?",8.0 9.0 7.0,/ + number1 number2 number0,2.0,"[15, 16, 17, 27, 28, 29, 33, 34, 35, 42, 43, 44]","Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another ,",how many trips will he make ?
Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet . How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?,30.0 4.0,* number0 number1,120.0,"[14, 15, 16, 37, 38, 39, 38, 39, 40]",Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet .,How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?
"Last year , number0 people were born in a country , and number1 people immigrated to it . How many new people began living in the country last year ?",90171.0 16320.0,+ number0 number1,106491.0,"[2, 3, 4, 11, 12, 13, 26, 27, 28]","Last year , number0 people were born in a country , and number1 people immigrated to it .",How many new people began living in the country last year ?
Christine wandered number0 miles at number1 miles per hour . How long did Christine wander ?,20.0 4.0,/ number0 number1,5.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Christine wandered number0 miles at number1 miles per hour .,How long did Christine wander ?
Emily was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each . How many small gardens did Emily have ?,42.0 36.0 2.0,/ - number0 number1 number2,3.0,"[10, 11, 12, 14, 15, 16, 29, 30, 31, 38, 39, 40]",Emily was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each .,How many small gardens did Emily have ?
"Dana earns $ number0 per hour . She worked number1 hours on Friday , number2 hours on Saturday , and number3 hours on Sunday . How much money did Dana earn in all ?",13.0 9.0 10.0 3.0,* number0 + + number1 number2 number3,286.0,"[2, 3, 4, 8, 9, 10, 13, 14, 15, 19, 20, 21, 30, 31, 32]","Dana earns $ number0 per hour . She worked number1 hours on Friday , number2 hours on Saturday , and number3 hours on Sunday .",How much money did Dana earn in all ?
"Nancy picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , how many carrots would she have total ?",12.0 2.0 21.0,- + number0 number2 number1,31.0,"[1, 2, 3, 11, 12, 13, 17, 18, 19, 28, 29, 30]","Nancy picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day ,",how many carrots would she have total ?
"My dog had some bones . Then , he dug up number0 bones . Now he has number1 bones . How many bones did he start with ?",367.0 860.0,- number1 number0,493.0,"[10, 11, 12, 16, 17, 18, 24, 25, 26]","My dog had some bones . Then , he dug up number0 bones . Now he has number1 bones .",How many bones did he start with ?
"There are number0 gallons of water in Becky 's fish tank . If Becky adds number1 gallons more , how many gallons will there be in all ?",7.75 7.0,+ number0 number1,14.75,"[1, 2, 3, 14, 15, 16, 24, 25, 26]","There are number0 gallons of water in Becky 's fish tank . If Becky adds number1 gallons more ,",how many gallons will there be in all ?
"While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",5.0 5.0 5.0,* number0 + number0 number0,50.0,"[7, 8, 9, 15, 16, 17, 28, 29, 30, 34, 35, 36]","While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",what was his final score ?
"Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?",3.0 11.0 16.0,/ + number1 number2 number0,9.0,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 37, 38, 39]","Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds ,",how many points did they earn ?
Mike had number0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now number1 peaches . how many did he pick ?,34.0 86.0,- number1 number0,52.0,"[1, 2, 3, 24, 25, 26, 30, 31, 32]",Mike had number0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now number1 peaches .,how many did he pick ?
Paige was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Paige have total ?,6.0 5.0 5.0,* number0 + number1 number1,60.0,"[11, 12, 13, 21, 22, 23, 24, 25, 26, 35, 36, 37]",Paige was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens .,How many pieces of winter clothing did Paige have total ?
Sally saw number0 dozen birds in a tree . How many birds did Sally see ?,1.0,* number0 12.0,12.0,"[1, 2, 3, 12, 13, 14]",Sally saw number0 dozen birds in a tree .,How many birds did Sally see ?
"A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table , how many tables did he have ?",21.0 12.0 3.0,/ - number0 number1 number2,3.0,"[2, 3, 4, 9, 10, 11, 20, 21, 22, 30, 31, 32]","A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table ,",how many tables did he have ?
Todd has some gum . Steve gave him number0 more pieces of gum . Now Todd has number1 pieces of gum . How many pieces did Todd have to start with ?,16.0 54.0,- number1 number0,38.0,"[7, 8, 9, 16, 17, 18, 30, 31, 32]",Todd has some gum . Steve gave him number0 more pieces of gum . Now Todd has number1 pieces of gum .,How many pieces did Todd have to start with ?
